talent_id,talent_name,talent_gender,talent_birth_date,talent_age,talent_location,talent_tags,talent_description
fc0f6e4b-c397-40a4-a24c-d08b92aedc45,Pribadi Anwar Wicaksono,L,24/4/1992,31,"Banten, Cilegon",Badminton|Berjiwa petualang|Kpopers|Hiking|Olahraga,"Saya sangat menyukai Kpop, girlband favorit saya TWICE, bias saya Dahyun, saya sangat menyukai setiap lagu TWICE. Saya juga suka berolahraga khususnya badminton"
ddc39acb-d29b-43f0-abcd-f54fe7be2904,Aprilia Wanda Habibah Dhea,P,2/9/2002,21,"Jawa Barat, Cimahi",Binaraga|Jogging|Gym|Cerdas|Olahraga,Pengajar kebugaran yang berkomitmen untuk membantu orang mencapai gaya hidup sehat. Saya memiliki pengetahuan tentang nutrisi dan memberikan saran tentang kebiasaan hidup sehat.
64183f98-8491-43e5-bcec-b057ae943a57,Andria Sri,P,25/4/1997,26,"Kalimantan Tengah, Palangka Raya",Desain|Cerdas|Pengajar|Kreatif|Seni,"Seorang seniman kreatif yang mahir dalam seni dan kerajinan, serta ilustrasi. Saya sering membuat karya seni unik dan mengajar kursus seni untuk berbagi keterampilan saya."
9d603bbd-b489-481a-93db-c55c5ef77a09,Dhea Aminah Putri,P,26/10/1983,40,"Jawa Tengah, Pekalongan",Membaca|Cerdas|Sastra|Penulis|Seni,Pecinta buku yang suka menulis dan memiliki pengetahuan mendalam tentang sastra. Saya senang berbagi rekomendasi buku dan menulis ulasan sastra di blog pribadi saya.
1b34b365-c0bc-48d9-a66f-042ba1cf090d,Haq Deni Haswan,L,18/3/2000,23,"Gorontalo, Gorontalo",Petualangan|Fashion|Filsafat|Traveling|Fotografi,Seorang fotografer pecinta alam yang gemar melakukan perjalanan untuk mengabadikan keindahan alam dan pemandangan luar ruangan. Pengalaman saya dalam fotografi alam membuat saya dapat menangkap momen-momen yang unik dan indah.
366dfd5c-24fb-41dc-a02f-b9aac74b5068,Nurkalika Patricia Devi,P,16/4/1996,27,"Sulawesi Tenggara, Kendari",Analitis|Coding|Kreatif|Anak Senja|Programmer,Seorang pengembang web dengan keahlian dalam pemrograman dan desain antarmuka pengguna (UI/UX). Saya memiliki pengalaman dalam pengembangan berbagai proyek web dan aplikasi dengan fokus pada pengalaman pengguna yang optimal.
c6ae2bb0-c5e7-4c1f-be87-df1e26d03409,Devi Syamtah Karina,P,7/2/1980,43,"Nusa Tenggara Timur, Kupang",Merokok|Sutradara|Akting|Kreatif|Penulis,Seorang pecinta film yang memiliki bakat dalam seni berakting dan penulisan skenario. Saya telah terlibat dalam beberapa proyek film independen dan senang berkolaborasi dengan individu kreatif untuk menciptakan karya seni yang menginspirasi.
180a1ad1-1770-4fbf-9947-9c2aca84df84,Putri Noer Nurhafni Wear,P,1/5/2001,22,"Papua, Jayapura",Binaraga|Jogging|Gym|Cerdas|Olahraga,"Pengajar kebugaran dan penyuka gaya hidup sehat. Saya memiliki pengalaman dalam memberikan pelatihan pribadi dan membantu orang mencapai tujuan kebugaran mereka. Selain itu, saya juga mempromosikan gaya hidup sehat melalui konten online."
fc2e42d4-d372-4975-9a32-bee337e9fcca,Rahmawati Putri Maghriza,P,18/4/1994,29,"Sumatera Utara, Medan",Desain|Menari|Menggambar|Kreatif|Intelektual,"Pecinta kerajinan tangan dan proyek DIY. Saya suka menciptakan barang-barang unik dan handmade. Pengalaman saya melibatkan berbagai proyek seperti pembuatan kerajinan, dekorasi rumah, dan aksesori fashion."
0e7021a4-74d3-42fc-846d-b61c3a430572,Juan Jamaludin Yansyah,L,26/1/2006,17,"Kalimantan Selatan, Banjarmasin",Petualangan|Membaca|Traveling|Basket|Independen,Saya pecinta perjalanan yang suka belajar bahasa asing dan membaca buku. Seringkali saya mencari pengalaman baru di berbagai negara dan belajar tentang budaya lokal.
92c9844f-7539-4fbb-9244-14e55cd5c137,Ahmad Mardiva Muhammad,L,25/7/1996,27,"Nusa Tenggara Barat, Mataram",Petualangan|Atlet|Fotografi|Fleksibel|Pendaki,"Seorang pendaki handal yang senang menjelajahi alam bebas. Hobi saya juga termasuk fotografi, di mana saya menangkap keindahan alam dan momen petualangan saya."
c5699028-6b9a-4fd7-933c-baa19157c0e9,Nurlisda Dewi Purnama Dewi,P,1/8/1986,37,"Sumatera Selatan, Pagaralam",Inovatif|Teknologi|Pengajar|Disiplin|Intelektual,Saya seorang pengajar yang berkomitmen untuk meningkatkan pembelajaran dengan mengintegrasikan teknologi. Memiliki pengalaman dalam mengajar mata pelajaran terkait teknologi dan memberdayakan siswa dengan keterampilan digital.
c6d962f7-0181-4214-9d04-e712fe488330,Ramdhan Dzulzala Nurul,L,19/12/1995,28,"Jawa Tengah, Pekalongan",Berkuda|Seniman|Bisnis|Kreatif|Seni,Desainer kreatif dengan keahlian dalam seni grafis dan pemasaran digital. Saya suka menciptakan desain yang menarik dan efektif untuk memenuhi kebutuhan klien dan pasar.
cfffe071-49b8-40de-b365-35189509bc48,Saputra Varisky,L,25/7/1982,41,"Jawa Timur, Madiun",Cerdas|Jurnalis|Sastra|Kreatif|Penulis,"Seorang penulis dan jurnalis dengan minat dalam dunia sastra. Suka mengeksplorasi berbagai topik dan menyampaikan cerita melalui tulisan, baik dalam bentuk artikel berita maupun karya sastra."
bf2cd5f5-4486-4b1d-97f1-65a1a8e1ad0f,Hakim Mayranda Haswan Hanif,L,6/12/1987,36,"Kalimantan Timur, Bontang",Petualangan|Patriotik|Traveling|Videografi|Ramah,Saya seorang travel vlogger yang suka berpetualang dan membagikan pengalaman seru dalam perjalanan saya. Bergabunglah dengan saya untuk mengeksplorasi tempat-tempat menarik di seluruh dunia!
d92bdb5b-2540-4013-b423-b3f8c24449ef,Vincent Ramadhan Sabriadi Jehanu,L,14/11/1980,43,"Banten, Tangerang",Analitis|Coding|Inovatif|Teknologi|Programmer,Seorang pengembang perangkat lunak dengan keahlian dalam berbagai bahasa pemrograman. Saya tertarik pada perkembangan teknologi terbaru dan selalu mencari solusi kreatif untuk tantangan pemrograman.
494eac09-90fe-4288-a4c2-5afd32f0dc7c,Karlina Fitriani Fransisca Sari,P,17/5/2005,18,"DKI Jakarta, Administrasi Jakarta Utara",Suka menolong|Seniman|Visioner|Kreatif|Seni,"Saya seorang seniman yang mencintai seni rupa, terutama lukisan dan patung. Karya-karya saya mencerminkan ekspresi diri dan imajinasi. Saya senang berbagi keindahan seni dengan orang lain."
f34bf80f-11c7-4e58-90cc-a056e190bba3,Dudy Firdaus,L,17/3/1984,39,"Sulawesi Utara, Tomohon",Meditasi|Sabar|Pengajar|Motivator|Fotografer,Seorang pendidik yang peduli dengan perkembangan pendidikan. Saya memiliki pengalaman dalam mengajar dan memotivasi siswa untuk mencapai potensi terbaik mereka. Bergabunglah dalam perjalanan belajar bersama saya!
a39ab56e-1d23-4314-b1d9-9ca15eec389c,Mei Jeanette Fitri,P,20/6/1984,39,"Jawa Barat, Cirebon",Penyanyi|Musisi|Psikolog|Menyanyi|Menyelam,Seorang penyanyi dan pemain piano yang menyukai berbagai genre musik. Saya telah tampil di berbagai acara dan menghasilkan beberapa karya orisinal. Mari bersama-sama merayakan keindahan musik!
e255773a-8c7e-47ad-9e55-0fec4a82e8d7,Ramadhana Djubuli Ika Ayu,P,24/11/1987,36,"DKI Jakarta, Administrasi Jakarta Barat",Membaca|Berkebun|Sastra|Kreatif|Penulis,Saya seorang penulis yang gemar mengekspresikan pikiran dan perasaan melalui kata-kata. Membaca dan puisi adalah cara saya berkomunikasi dengan dunia. Temukan keindahan dalam setiap kata yang saya tulis.
890c5cfb-eb70-457b-951d-883507428c70,Nurrahmah Permata Baiq,P,11/8/1981,42,"Sumatera Barat, Lima Puluh Kota",Visioner|Fotografi|Motivator|Fotografer|Ramah,Seorang fotografer dengan fokus pada potret dan pemandangan. Saya berusaha menangkap momen-momen berharga dengan keindahan visual. Bergabunglah dan jadilah bagian dari kisah yang saya dokumentasikan melalui lensa saya.
469ca29b-d98e-4004-a265-849563cfd695,Aditya Rizal Varisky Ramadhan,L,17/11/1991,32,"Maluku, Tual",Jogging|Petualangan|Visioner|Traveling|Pendaki,Pecinta alam dan hiking yang senang menjelajahi jalur-jalur hiking menantang. Saya membagikan pengalaman seru di alam dan memberikan tips untuk persiapan hiking yang aman dan menyenangkan.
182d6738-fb01-4af9-872c-e49fb422c07a,Eddo Saifullah Timothy Asfar,L,5/8/2003,20,"Sulawesi Selatan, Parepare",Binaraga|Gym|Cerdas|Pengajar|Olahraga,"Seorang instruktur fitness yang berkomitmen untuk membantu orang mencapai gaya hidup sehat. Dengan pengetahuan tentang nutrisi dan kebugaran, saya siap membimbing Anda dalam perjalanan kebugaran Anda."
34b384a4-cbb9-4e39-9f85-8b80423df524,Novita Melinda,P,19/11/1991,32,"Sumatera Utara, Pematangsiantar",Desain|Inovatif|Menggambar|Kreatif|Psikolog,Seorang desainer grafis yang memiliki keahlian dalam menciptakan desain kreatif dan inovatif. Saya percaya bahwa desain memiliki kekuatan untuk menyampaikan pesan dengan cara yang unik dan menarik.
a6cf12e1-a125-4b00-bf43-cb87cd934152,Mulyadi Ahmad,L,1/3/2005,18,"Jawa Timur, Kediri",Sabar|Membaca|Optimis|Pengajar|Penulis,Saya seorang penulis dan pelatih penulisan kreatif. Hobi saya mencakup membaca berbagai genre buku dan memberikan pelatihan untuk mengembangkan keterampilan menulis.
48645e45-09b3-43cc-a42d-01eefd058880,Rahmadi Hedy Pratama,L,6/7/1990,33,"Kalimantan Tengah, Kotawaringin Timur",Analitis|Desain|Kreatif|Fotografer|Seni,Seorang seniman digital yang ahli dalam seni rupa dan desain. Saya sering membuat karya seni digital dan desain grafis yang menginspirasi.
f842424e-f907-4a51-9240-a446a6fe065c,Taufik Haq,L,11/1/2007,16,"Nusa Tenggara Barat, Mataram",Aktor/Aktris|Akting|Percaya diri|Kreatif|Film,Aktor/Aktris dan pecinta seni panggung. Saya berpengalaman dalam berbagai pertunjukan teater dan memiliki hasrat dalam seni perfilman.
ec2443c4-c121-4a6d-b960-229b0fced2ac,Muhammad Anwar Ilham,L,2/12/2007,16,"Kalimantan Utara, Tarakan",Coding|Inovatif|Ambisius|Teknologi|Programmer,Seorang pengembang web yang mahir dalam pemrograman dan pengembangan situs web. Saya aktif mengikuti perkembangan teknologi terkini.
fc16bbc1-20ff-4fb5-96e6-9dc0f36d8a6b,Marcelino Wahyudi,L,15/12/1993,30,"Sumatera Barat, Lima Puluh Kota",Komposer|Humoris|Musisi|Menjahit|Kurator,Pianis dan komposer musik dengan kecintaan pada berbagai genre musik. Saya sering membuat komposisi musik sendiri dan tampil dalam konser piano.
6fd6e431-5504-437e-b149-a23722d28ead,Bagus Fadlil Ragil Herdianto,L,30/5/1999,24,"DKI Jakarta, Administrasi Jakarta Pusat",Editor|Keibuan|Kreatif|Videografi|Fotografi,Seorang fotografer dan videografer yang ahli dalam mengambil gambar dan membuat konten visual. Saya juga memiliki keterampilan dalam pengeditan foto dan video.
25a83546-6b39-4319-91b4-4a057dc9f768,Faradila Carrolina Aulia,P,14/5/1993,30,"Sumatera Selatan, Pagaralam",Gym|Seniman|Cerdas|Skena|Olahraga,Pecinta olahraga dan fitness yang menjadi pelatih untuk membantu orang mencapai tujuan kesehatan dan kebugaran mereka.
a30011f6-eb60-414a-ae57-e83afd3429a8,Fajar Liwal Putra,L,21/7/2005,18,"Bengkulu, Bengkulu",Penyanyi|Wibu|Musisi|Menyanyi|Hiking,Seorang penyanyi dan vokalis dengan fokus pada genre musik pop. Saya sering tampil di berbagai acara dan menyanyikan lagu-lagu pop terbaru.
3f28953a-0361-4379-b831-8e994274e598,Sabila Rana Veronica Siti,P,5/10/2000,23,"Jawa Timur, Batu",Pecinta alam|Pengusaha|Traveling|Ilustrator|Penerjemah,Petualang yang sering melakukan perjalanan dan menjadi pemandu wisata. Saya memiliki pengetahuan mendalam tentang destinasi wisata dan keahlian sebagai pemandu.
11eb224e-0956-4e13-93a6-ce60426a0124,Ali Anshari,L,11/5/2005,18,"Gorontalo, Gorontalo",Membaca|Sastra|Kreatif|Penulis|Intelektual,Seorang pencinta buku dan senang menulis puisi. Saya memiliki koleksi buku yang luas dan sering menulis karya-karya kreatif dalam bentuk puisi.
bafee4f6-cb52-4636-9617-398f3868ef35,M. Khalqi Muhammad,L,30/4/1990,33,"Jawa Tengah, Salatiga",Coding|Inovatif|Teknologi|Optimis|Programmer,Seorang pengembang perangkat lunak yang ahli dalam pemrograman dan pengembangan web. Saya memiliki pengalaman dalam proyek-proyek besar dan memiliki kemampuan yang kuat dalam menyelesaikan masalah.
c3318550-6af5-42a2-86b3-08498b54c652,Restiantoro Nainggolan,L,15/9/1998,25,"Jawa Timur, Mojokerto",Sabar|Membaca|Filsafat|Kreatif|Model,Seorang desainer grafis yang memiliki keahlian dalam seni digital dan ilustrasi. Saya senang menciptakan karya seni visual yang unik dan kreatif.
18857854-05cb-4c9a-9464-4f376e261c52,Novita Veronica,P,7/1/1982,41,"Kalimantan Selatan, Banjarbaru",Puzzle|Kreatif|Videografi|Fotografi|Penuh energi,Seorang travel blogger yang membagikan petualangan dan pengalaman melalui fotografi dan videografi. Saya senang menjelajahi tempat-tempat baru dan berbagi cerita melalui media sosial.
8e1580d7-e778-457c-b77a-990c6a37fd70,Najibah Karina,P,16/9/1984,39,"Sumatera Utara, Padangsidimpuan",Sabar|Cerdas|Pengajar|Catur|Intelektual,Seorang pendidik yang berkomitmen untuk memberikan pendidikan berkualitas. Saya memiliki pengalaman sebagai guru dan pengajar dalam berbagai mata pelajaran.
8a126c7b-014b-42c6-b773-a8d553b49801,Septiandie Muhammad Prayoga Renaldy,L,4/1/2001,22,"Jawa Tengah, Salatiga",Binaraga|Gym|Penata rambut|Cerdas|Olahraga,Pengajar senam dan fitness yang berdedikasi untuk membantu orang mencapai gaya hidup sehat. Saya memiliki sertifikasi dalam instruksi senam dan kesehatan.
44a99da4-3c55-4a41-b277-8dd5c5933165,Fresesiensi Diah,P,7/6/1985,38,"Kalimantan Selatan, Kotabaru",Riang|Membaca|Sastra|Kreatif|Penulis,Saya adalah seorang penulis dan penyair yang gemar menulis berbagai jenis karya sastra. Membaca-buku favorit saya meliputi klasik dan sastra modern.
8a061039-6e31-48d1-9b95-8835af41eab5,Putri Carrolina Fatimah,P,5/6/1978,45,"Kalimantan Tengah, Kotawaringin Barat",Desain|Seni|Kreatif|Ilustrator|Futsal,Seorang desainer grafis dan seniman visual yang memiliki kecintaan terhadap seni rupa. Keahlian saya termasuk ilustrasi digital dan desain kreatif.
83feee56-1ad7-4bc1-bdb6-af716bc96d0c,Sultan Permadi Rega,L,3/10/2004,19,"Sumatera Utara, Tebing Tinggi",Sutradara|Akting|Kreatif|Menyanyi|Film,Saya adalah seorang aktor yang memiliki pengalaman dalam dunia perfilman. Saya juga memiliki ketertarikan dalam sutradara dan seni pembuatan film.
bacf4cdb-827b-4fc7-9863-8d5bceb04076,Asyhari Betteng,P,2/10/2003,20,"Jawa Tengah, Surakarta",Coding|Inovatif|Teknologi|Robotika|Programmer,Seorang ahli teknik dan pengembang perangkat lunak dengan minat khusus dalam robotika. Saya sering terlibat dalam proyek-proyek pemrograman dan pengembangan teknologi.
0fe3196b-75ac-4965-8f3e-4200fb821fa4,Permata Savirah,P,7/1/1990,33,"Banten, Tangerang",Kreatif|Mendengarkan musik|Fotografi|Penyiar radio|Wibu,Seorang fotografer dan videografer yang ahli dalam mengambil gambar dan membuat konten visual. Saya juga memiliki keterampilan dalam pengeditan foto dan video.
7dc481ba-a908-42a3-8fad-08467e8bbfd2,Muhammad Aditya,L,29/7/1997,26,"Jawa Timur, Madiun",Koki|Pramugari|Berenang|Fotografer|Pemadam kebakaran,Saya memiliki kasih sayang yang besar terhadap binatang. Aktif dalam kegiatan konservasi dan memiliki pengalaman dalam merawat berbagai jenis hewan peliharaan.
89e8b4a5-7e58-49d7-8887-8bde718435d5,Nurmaydani Khoirin Krisna Thasya,P,30/5/1985,38,"Jawa Barat, Banjar",Ahli biologi|Cerdas|Yoga|Seniman|Psikolog,Seorang praktisi meditasi dan yoga yang memiliki perhatian khusus terhadap kesehatan mental. Saya senang berbagi teknik relaksasi untuk meningkatkan kesejahteraan.
4c4974df-9563-452a-bda5-586a291a8547,Bima Saprizal,L,2/7/1997,26,"Lampung, Bandar Lampung",Filsafat|Akting|Seni|Kreatif|Film,Seorang seniman seni rupa yang juga memiliki bakat dalam dunia film dan akting. Saya senang menciptakan karya seni visual dan berpartisipasi dalam proyek-proyek film independen.
bebf03bf-4b5c-421e-b84d-b07ca1054278,Riski Anggara,L,10/8/2000,23,"Sumatera Selatan, Lubuk Linggau",Analitis|Coding|Inovatif|Teknologi|Programmer,Seorang ahli teknologi dengan keahlian dalam pemrograman dan inovasi. Saya sering mengembangkan aplikasi dan solusi teknologi untuk memecahkan masalah sehari-hari.
6106d116-96c8-4775-8111-0c4b9077dc49,Putri Febriyanti,P,26/2/1979,44,"Kalimantan Utara, Tarakan",Diskusi|Penyanyi|Komposer|Musisi|Menyanyi,Seorang musisi dengan keahlian sebagai gitaris dan penyanyi. Saya suka mengeksplorasi berbagai genre musik dan sering tampil di acara-acara musik lokal.
7fbb699f-bd88-46e9-94fb-6088e5233a30,Makasangkil Donna Nur Helvy,P,2/12/1996,27,"Jawa Barat, Bekasi",Desain|Menggambar|Kreatif|3D Modelling|Ilustrator,Desainer grafis dengan fokus pada illustrasi dan identitas merek. Saya memiliki pengalaman dalam menciptakan desain yang kreatif dan menarik.
c6e3703a-1101-42d8-8a91-83b12733ebc5,Putra Masagala Aditia,L,26/4/1997,26,"Jawa Barat, Tasikmalaya",Membaca|Sastra|Kreatif|Penulis|Intelektual,Seorang penulis dengan minat dalam penulisan buku dan puisi. Saya senang berbagi cerita dan pengalaman melalui kata-kata yang indah.
7569cad6-a50b-43d0-a6f6-767eeca6c78b,Rizal Ishaq Isa Vio,L,5/3/1995,28,"Sulawesi Selatan, Parepare",Sabar|Pengajar|Disiplin|Psikolog|Bekerja,Seorang pendidik yang berkomitmen untuk memberikan pembelajaran yang berkualitas. Saya memiliki keahlian dalam mengajar bahasa Inggris dan sering terlibat dalam proyek-proyek pendidikan.
22a01486-5175-4996-bcf9-37da5ee8e161,Azhari Tri,P,2/5/1994,29,"Jawa Tengah, Surakarta",Ambisius|Gym|Disiplin|Skena|Montir mobil,Pengajar|kebugaran yang memiliki dedikasi untuk membantu orang mencapai tujuan kesehatan mereka. Saya ahli dalam merancang program latihan yang efektif.
472186c2-1d03-4e3d-96fb-924efa8a225c,Amalanda Utina,P,12/1/1993,30,"Sumatera Utara, Padangsidimpuan",Wibu|Menonton|Prank|Traveling|Olahraga,Seorang travel blogger yang senang berbagi pengalaman perjalanan dan review destinasi wisata. Saya sering melakukan petualangan untuk menemukan tempat-tempat unik dan menarik.
4740e9c8-2fdf-48a5-b7f2-c45da2f25339,Bilianindi Wahyuningrum Marisa,P,15/1/1986,37,"Sulawesi Utara, Kotamobagu",Kreatif|Videografi|Bekerja|Independen|Intelektual,Pembuat konten yang aktif di platform YouTube. Saya menciptakan video-vlog kreatif tentang berbagai topik yang menarik perhatian pemirsa.
22cf56e3-c73d-4678-a176-6478d9cbc59b,Nur Arifiananda Saptiani Reninda,P,1/10/1984,39,"Kalimantan Selatan, Kotabaru",Memanjat|Meditasi|Kreatif|Arsitek|Tidur,Seorang desainer interior dengan keahlian dalam arsitektur dan dekorasi. Saya suka menciptakan ruang yang indah dan fungsional.
b4d2fe7c-1e5f-4fb0-ba86-a0685baa823d,Saputra Saputra Aditya,L,15/4/2004,19,"Jawa Tengah, Tegal",Sabar|Ambisius|Membaca|Pengajar|Disiplin,Seorang pengajar bahasa yang gemar membaca buku. Saya memiliki pengalaman mengajar berbagai tingkat kemampuan bahasa dan senang membagikan pengetahuan melalui kegiatan belajar yang menyenangkan.
3bfdaff9-5796-49bb-bfe9-014eaeb897c5,Rafi Faizal,L,17/12/2003,20,"Kalimantan Tengah, Palangka Raya",Ambisius|Desainer grafis|Akting|Kreatif|Seni,"Seorang seniman yang memiliki ketertarikan dalam seni pertunjukan. Saya mahir dalam menari dan berakting di atas panggung. Selain itu, saya juga aktif dalam berbagai kegiatan seni komunitas."
93ac984d-cb32-4ded-8863-91b6cd380bca,Ramadhani Dwi Mulia Umi,P,28/2/1993,30,"Sumatera Utara, Padangsidimpuan",Desain|Kreatif|Bekerja|Ilustrator|Kerja,Seorang desainer grafis dan illustrator dengan kreativitas tinggi. Saya memiliki pengalaman dalam menciptakan desain visual yang menarik dan unik. Karya-karya saya sering kali dipublikasikan di berbagai platform.
4f0a8997-c297-4546-9e2b-fcd533e6507c,Makasangkil Sindi Septasya,P,6/12/1979,44,"Bali, Denpasar",Perawat|Teknologi|Peneliti|Bekerja|Intelektual,Seorang peneliti dengan minat dalam ilmu pengetahuan dan teknologi. Saya memiliki latar belakang pendidikan yang kuat dan aktif terlibat dalam penelitian-penelitian terkini di bidang teknologi.
ac67cba9-6a1b-42c0-adc0-6fe5dd3591c2,Kasran Georgya Rafly,L,21/3/1998,25,"Aceh, Subulussalam",Binaraga|Bermain musik|Yoga|Disiplin|Robotika,Praktisi yoga yang juga memiliki minat dalam meditasi dan kesehatan holistik. Saya sering memberikan kelas yoga dan berbagi tips kesehatan melalui platform online.
4eb80d19-1a49-480e-82d7-5ee84b845e69,Anisa Krisna Dila Olivia,P,5/9/1981,42,"Kalimantan Timur, Bontang",Coding|Inovatif|Teknologi|Programmer|Ramah,Seorang programmer yang ahli dalam pengembangan web dan aplikasi mobile. Saya memiliki pengalaman dalam berbagai proyek pengembangan perangkat lunak dan terus memperbarui keterampilan teknis saya.
698b597a-e83b-4483-b2ea-5f115bcc3dd4,Asriani Elmiyanto Patricia,P,16/8/1980,43,"Sulawesi Tengah, Palu",Memanjat|Sabar|Pengajar|Disiplin|Ramah,"Seorang pengajar matematika yang penuh semangat. Saya memiliki metode pengajaran yang kreatif dan interaktif untuk membantu siswa memahami konsep matematika dengan mudah. Selain itu, saya juga aktif dalam kegiatan edukasi di komunitas."
aea6b0d5-16b1-4a43-9543-9b518aca0b87,Sindi Laura Suka,P,30/12/2000,23,"Sumatera Utara, Gunungsitoli",Fotografer|Traveling|Manajemen|Olahraga|Bersepeda,Fotografer perjalanan yang mencintai keindahan alam dan pemandangan. Saya memiliki portofolio yang kaya dengan foto-foto lanskap yang menakjubkan dari berbagai tempat di seluruh dunia. Sering berkolaborasi dengan majalah perjalanan untuk berbagi cerita melalui gambar.
75d2d0c0-a9d2-4de4-88f7-46f38ddab13f,Yahya Muhammad Ahmadin Zhikry,L,31/5/2005,18,"Jambi, Jambi",Seni|Sastra|Kreatif|Penulis|Ramah,Seorang penulis yang gemar menulis cerpen dan novel. Karya-karya saya sering kali mengeksplorasi tema-tema kehidupan sehari-hari dan kompleksitas hubungan antarmanusia. Suka berbagi kisah inspiratif melalui tulisan saya.
85b5f43e-0e28-468a-bbdc-515d99c09a66,Wijaya Adam Melkisedek,L,24/6/1996,27,"Papua Barat Daya, Sorong",Belanja|Animator|Kreatif|Bekerja|Fleksibel,Animator berbakat dengan fokus pada animasi 3D dan desain karakter. Saya telah bekerja pada berbagai proyek animasi dan memiliki keahlian dalam menciptakan karakter-karakter yang menarik. Selalu mencari tantangan baru dalam dunia animasi.
3c20c6ad-827a-4732-8a53-443b60693120,Aulia Hanifaturrahma Rinda,P,9/3/1999,24,"Sulawesi Utara, Kotamobagu",Kurator|Seni|Kreatif|Pelukis|Ramah,"Seniman lukis yang mencintai kreativitas melalui cat dan kanvas. Gaya lukisan saya bervariasi, mulai dari realisme hingga abstrak. Sering mengadakan pameran seni untuk membagikan karya seni dan memperluas jaringan dalam dunia seni."
